Method,N,k,Global_Accuracy,Class_0_Acc,Class_1_Acc,Class_2_Acc,Class_3_Acc,Class_4_Acc,Class_5_Acc,Class_6_Acc,Class_7_Acc,Class_8_Acc,Class_9_Acc
Random,2000,5,0.8375,0.857,0.958,0.764,0.86,0.74,0.817,0.532,0.947,0.939,0.961
Random,2000,10,0.8348,0.863,0.955,0.758,0.862,0.748,0.789,0.525,0.958,0.935,0.955
Random,4000,5,0.85,0.867,0.972,0.797,0.868,0.743,0.832,0.557,0.956,0.942,0.966
Random,4000,10,0.8511,0.883,0.967,0.801,0.875,0.754,0.829,0.554,0.957,0.935,0.956
Random,6000,5,0.8625,0.885,0.968,0.846,0.871,0.765,0.828,0.582,0.953,0.961,0.966
Random,6000,10,0.8615,0.903,0.967,0.828,0.878,0.774,0.822,0.568,0.959,0.957,0.959
Sequential,2000,5,0.8373,0.863,0.956,0.812,0.829,0.743,0.756,0.572,0.943,0.938,0.961
Sequential,2000,10,0.8342,0.877,0.951,0.788,0.826,0.738,0.762,0.566,0.943,0.931,0.96
Sequential,4000,5,0.8514,0.849,0.967,0.798,0.862,0.772,0.827,0.587,0.943,0.945,0.964
Sequential,4000,10,0.8496,0.868,0.965,0.798,0.863,0.765,0.807,0.576,0.945,0.943,0.966
Sequential,6000,5,0.8554,0.855,0.968,0.819,0.86,0.773,0.822,0.575,0.961,0.953,0.968
Sequential,6000,10,0.8515,0.863,0.964,0.813,0.871,0.755,0.807,0.56,0.969,0.949,0.964
